raconter qch à qn	给某人讲述某事(tell someone something)
execuser	原谅,宽恕(forgive)v.t.
médecin	医生(doctor)n.m.
le portable	笔记本电脑;手机(laptop; mobile phone)n.m.便携式的,手提式的(portable)adj.
se suicider	自杀
Le chasseur	猎人n.m.
se cacher	躲藏(to hide)
république	共和国(republic)n.f.
parvenir	到达(to reach)
être intervenu	干涉(to have intervened)-阳性
survenir	突然到达(to occur)
Vous êtes né quand	你什么时候出生的?(When were you born?)
la chambre du commerce	“商会”(英语:chamber of commerce)
la tête	是“头”(阴性名词); “头顶”; “头”头脑(head)n.f.
un truc	一个东西(“truc”是非正式用法,表示“东西”或“事物”); “一个东西”
en colère	生气,“colère” 是阴性名词,意为 “愤怒、生气”,在句子中作表语。; “生气的”(英语:angry)
être au régime	在减肥(英语:to be on a diet)
as réussi	“通过”(英语:passed)
Il n'y aura pas de cours	没有课。
Gémeaux	双子座“Gemini”
curieux	“好奇的”(英语:curious)
rapides	反应迅速的(英语:quick)
deux côtés	“两面性”(英语:two sides)
signes chinois	中国星座“Chinese zodiac”
forte	“强壮的;大声的”  (英语:strong; loud)
un beau paysage	美丽的风景/ej/
inspectrice	检查员n.f.
pâtes	面条n.f.pl.意大利面
porcelaine	陶瓷(n.f.)(porcelain)
se rappeler	“记住”
J'ai téléchargé les deux films de Bin Gan mais je ne les ai pas encore regardés	“我下载了毕赣的两部电影,但我还没看。”
présent	“现在时”; “现在时”
Titre original chinois	中文原名; “中文原名:地球最后的夜晚”
légumes	蔬菜n.m.pl.
Je pense que je vais réussir	“我想我会成功的。”
passer un examen	参加考试(take an exam)
la pâtisserie	糕点店(bakery)
en bas de	向下,在下面(downstairs)
être athée	无神论者
croire en	相信(to believe in)
Dieu	上帝(God)
