amazed	惊讶的
concerned	担忧的
criteria	标准；条件（criterion的复数）
option	选择；选择权
putting to use	使用；利用
referring to	参考；提及
looking for	寻找
improved	提高；改善
applicable	可应用的
instructor	指导者；讲师
opponent	对手
decision - making	决策
hard - earned	来之不易的
grandmaster	特级大师;大师
relevant	(adj.)相关的，有关的
profession	(n.)职业;职业；专业
analyze	(vt.) 分析
evaluate	评估；评价vt.;估价;评价；评估
upward	(adv.) 向上地；adj.向上的
civilian	"adj.平民的，百姓的，民用的"
anyhow	"adv.不论用何种方法，无论如何；尽管如此"
analyst	(n.) 分析员
republic	(n.) 共和国，共和政体
continent	(n.) 大陆，洲
distant	(adj.) 遥远的；疏远的
headwind	(n.) 逆风，顶风
lid	(n.) 盖，盖子
arrogant	(adj.) 傲慢的，妄自尊大的
breakthrough	"n.突破，突破性进展，重大进展"
specialize	(v.) 专门研究，专门从事
receptionist	(n.) 接待员
reflect	"v.反映；反射；反思，反省；倒映"
cassette	"n.录像带，盒式磁带；磁带盒"
spy	"v.暗中监视（或侦察）；n.间谍，密探"
interpreter	(n.) 口译员，口译者
vest	(n.) 汗衫，背心，马甲
rosebud	(n.) 玫瑰花蕾
reproduce	(v.) 繁殖；再生产
security	(n.) 安全；保护措施
regard	"v.把……视为；认为；n.尊敬"
pressure	(n.) 压力
adjustment	"n.（行为、思想的）调整，适应"
